Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
IDN,2004-04-01,2004-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2004,2004,,35.212049,X,base year is 2015
IDN,2005-04-01,2005-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2005,2005,,37.317820,X,base year is 2015
IDN,2006-04-01,2006-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2006,2006,,43.431500,X,base year is 2015
IDN,2007-04-01,2007-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2007,2007,,48.412842,X,base year is 2015
IDN,2008-04-01,2008-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2008,2008,,56.031352,X,base year is 2015
IDN,2009-04-01,2009-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2009,2009,,60.992825,X,base year is 2015
IDN,2010-04-01,2010-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2010,2010,,64.573627,X,base year is 2015
IDN,2011-04-01,2011-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2011,2011,,71.725301,X,base year is 2015
IDN,2012-04-01,2012-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2012,2012,,76.547707,X,base year is 2015
IDN,2013-04-01,2013-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2013,2013,,85.210313,X,base year is 2015
IDN,2014-04-01,2014-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2014,2014,,90.968611,X,base year is 2015
IDN,2015-04-01,2015-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2015,2015,,96.726910,X,base year is 2015
IDN,2016-04-01,2016-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2016,2016,,105.321385,X,base year is 2015
IDN,2017-04-01,2017-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2017,2017,,108.290385,X,base year is 2015
IDN,2018-04-01,2018-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2018,2018,,113.837728,X,base year is 2015
